Lat,Lon,Elat,Elon,Length,Year,Month,Day,Hour,Minute,Public,Public2,Car,Bike,Foot,Car2Go,Enjoy,Car2GoFreeCars,EnjoyFreeCars
45.454701,9.168144,45.467510,9.203340,3.092351,2020,06,30,13,10,19,35,0,19,46,17,20,19,936,781
45.460905,9.193292,45.503156,9.155670,5.538253,2020,06,30,13,10,19,33,0,37,96,24,24,27,936,781
45.450605,9.201569,45.498067,9.192812,5.321265,2020,06,30,13,10,19,30,0,29,83,18,27,26,936,782
45.460465,9.177791,45.483029,9.161698,2.805184,2020,06,30,13,10,19,27,0,16,45,10,16,21,936,782
45.479315,9.176875,45.463522,9.163839,2.028987,2020,06,30,13,10,19,20,0,13,31,9,14,12,936,782
45.455568,9.164595,45.476027,9.169966,2.313064,2020,06,30,13,10,19,25,0,15,38,8,10,12,936,782
45.467245,9.191428,45.476098,9.168825,2.018689,2020,06,30,13,10,19,24,0,13,33,17,14,16,936,791
45.485130,9.217084,45.467055,9.198774,2.465171,2020,06,30,13,10,19,11,0,13,37,11,17,18,936,791
45.485293,9.229772,45.454863,9.173024,5.570290,2020,06,30,13,10,19,36,0,33,86,24,26,31,936,791
45.473088,9.187026,45.452298,9.165699,2.847781,2020,06,30,13,20,20,23,0,17,44,13,15,16,936,791
45.474706,9.202172,45.452194,9.203906,2.506750,2020,06,30,13,20,20,21,0,14,39,9,13,15,936,791
45.472365,9.226027,45.477009,9.194973,2.475693,2020,06,30,13,20,20,26,0,15,38,11,14,13,936,792
45.495601,9.176806,45.453595,9.202486,5.081708,2020,06,30,13,20,20,32,0,29,83,18,23,25,936,792
45.461790,9.178213,45.501508,9.166438,4.510625,2020,06,30,13,20,20,33,0,27,77,15,18,22,936,792
45.471922,9.180533,45.447631,9.177096,2.714175,2020,06,30,13,20,20,27,0,18,42,15,16,20,936,792
45.467269,9.180594,45.506027,9.187569,4.343650,2020,06,30,13,20,20,33,0,25,68,18,17,24,936,791
45.455868,9.175310,45.501949,9.215362,6.000254,2020,06,30,13,20,20,48,0,38,97,27,28,31,936,791
45.474322,9.170686,45.479288,9.227638,4.474514,2020,06,30,13,20,20,34,0,28,72,18,23,23,936,791
45.450781,9.196382,45.476426,9.172193,3.418941,2020,06,30,13,20,20,42,0,24,54,18,20,19,936,791
45.446984,9.206430,45.445167,9.158362,3.755147,2020,06,30,13,30,20,24,0,18,58,10,14,21,936,792
45.437790,9.218864,45.482536,9.221954,4.981122,2020,06,30,13,30,20,40,0,26,73,0,1,0,936,792
45.467551,9.190412,45.502368,9.215258,4.328775,2020,06,30,13,30,20,39,0,29,70,0,3,5,936,792
45.497806,9.174156,45.461047,9.195109,4.401569,2020,06,30,13,30,20,38,0,31,69,24,27,30,936,792
45.496566,9.150360,45.468567,9.187970,4.276518,2020,06,30,13,30,20,35,0,24,65,16,26,21,936,797
45.466882,9.220330,45.488743,9.149339,6.045010,2020,06,30,13,30,20,46,0,31,97,0,6,7,936,797
45.442135,9.207522,45.468339,9.227199,3.293100,2020,06,30,13,30,20,44,0,21,58,12,5,11,936,797
45.505351,9.174858,45.466555,9.226155,5.882027,2020,06,30,13,30,20,40,0,31,90,0,21,1,936,797
45.453982,9.154394,45.442094,9.221455,5.395557,2020,06,30,13,30,20,46,0,28,84,16,24,2,936,801
45.448486,9.197313,45.500957,9.189026,5.869898,2020,06,30,13,30,20,38,0,33,91,21,26,24,936,801
45.459466,9.183791,45.449191,9.205189,2.022557,2020,06,30,13,40,23,18,0,14,33,9,9,13,936,801
45.457463,9.201298,45.437744,9.177053,2.895538,2020,06,30,13,40,23,39,0,18,50,12,13,23,936,801
45.468433,9.182588,45.491826,9.158102,3.226396,2020,06,30,13,40,23,30,0,18,53,10,12,15,936,805
45.469034,9.198740,45.482998,9.217737,2.145810,2020,06,30,13,40,23,17,0,11,34,9,12,15,936,805
45.465053,9.191219,45.487148,9.170420,2.943677,2020,06,30,13,40,23,30,0,21,48,16,17,24,936,805
45.457047,9.194938,45.481450,9.152419,4.284239,2020,06,30,13,40,23,30,0,25,67,17,20,23,936,805
45.481854,9.181614,45.448585,9.149569,4.464133,2020,06,30,13,40,23,48,0,24,71,17,27,18,936,799
45.445872,9.156348,45.484981,9.212268,6.158373,2020,06,30,13,40,23,38,0,36,93,26,32,26,936,799
45.506058,9.226432,45.447307,9.174621,7.680566,2020,06,30,13,40,23,46,0,43,116,27,30,30,936,799
45.464295,9.195762,45.466064,9.160654,2.744848,2020,06,30,13,40,23,21,0,18,39,15,19,21,936,799
45.438793,9.210436,45.500980,9.177271,7.382319,2020,06,30,13,50,20,49,0,43,120,28,32,37,936,805
45.457454,9.218444,45.437396,9.160686,5.027277,2020,06,30,13,50,20,47,0,25,86,13,15,19,936,805
45.462519,9.215300,45.494497,9.161475,5.500191,2020,06,30,13,50,20,47,0,27,90,17,19,24,936,805
45.464399,9.194986,45.495004,9.211687,3.643546,2020,06,30,13,50,20,29,0,22,58,19,19,21,936,805
45.455055,9.159995,45.452623,9.229266,5.409739,2020,06,30,13,50,20,55,0,27,84,19,21,29,936,801
45.462715,9.151804,45.504478,9.194184,5.698964,2020,06,30,13,50,20,43,0,31,94,19,23,25,936,801
45.464511,9.157557,45.488141,9.195064,3.931255,2020,06,30,13,50,20,33,0,24,61,18,19,21,936,801
45.445027,9.192769,45.466572,9.229599,3.740370,2020,06,30,13,50,20,49,0,23,66,13,21,22,936,801
45.439949,9.178345,45.506409,9.186284,7.415540,2020,06,30,13,50,20,62,0,44,111,25,32,32,936,805
45.505411,9.211352,45.472734,9.180328,4.364549,2020,06,30,13,50,20,33,0,23,66,14,22,16,936,805
45.475371,9.161567,45.458273,9.175037,2.171996,2020,06,30,14,00,20,26,0,13,35,9,3,9,936,805
45.473369,9.146831,45.465126,9.190646,3.537336,2020,06,30,14,00,20,19,0,22,53,0,3,2,936,805
45.502756,9.172275,45.475868,9.177496,3.017238,2020,06,30,14,00,20,37,0,21,54,0,11,6,936,799
45.490393,9.155737,45.452038,9.194414,5.223258,2020,06,30,14,00,20,53,0,28,81,23,26,32,936,799
45.498357,9.212969,45.468715,9.187681,3.840458,2020,06,30,14,00,20,32,0,23,58,19,22,24,936,799
45.483964,9.146295,45.475702,9.175750,2.473296,2020,06,30,14,00,20,37,0,16,43,0,12,12,936,799
45.502126,9.184104,45.471147,9.163725,3.793216,2020,06,30,14,00,20,40,0,21,61,0,6,2,936,806
45.494238,9.177780,45.464535,9.185769,3.360881,2020,06,30,14,00,20,17,0,23,52,0,5,6,936,806
45.487474,9.149076,45.471576,9.198905,4.268046,2020,06,30,14,00,20,42,0,29,74,0,4,3,936,806
45.493497,9.205798,45.457439,9.190534,4.182178,2020,06,30,14,00,20,26,0,27,65,0,27,24,936,806
45.467214,9.174247,45.476041,9.149321,2.177314,2020,06,30,14,10,18,18,0,12,34,7,9,12,936,806
45.463005,9.188736,45.493380,9.199606,3.482086,2020,06,30,14,10,18,18,0,23,55,19,22,20,936,807
45.479584,9.166101,45.442125,9.217837,5.798891,2020,06,30,14,10,18,0,0,31,87,22,22,30,936,807
45.453109,9.168490,45.493983,9.187128,4.771446,2020,06,30,14,10,18,30,0,30,74,21,23,27,936,807
45.468417,9.205457,45.453186,9.187512,2.196958,2020,06,30,14,10,18,23,0,14,34,11,13,14,936,807
45.452516,9.168027,45.498191,9.151943,5.231120,2020,06,30,14,10,18,41,0,29,88,19,22,25,936,802
45.450808,9.179098,45.476894,9.156571,3.391016,2020,06,30,14,10,18,39,0,21,55,16,19,25,936,802
45.462096,9.169129,45.496769,9.186384,4.083237,2020,06,30,14,10,18,31,0,26,63,16,24,23,936,802
45.469539,9.172197,45.504830,9.214376,5.119386,2020,06,30,14,10,18,48,0,31,81,24,27,28,936,802
45.465540,9.189921,45.487575,9.216691,3.218544,2020,06,30,14,10,18,13,0,17,48,16,17,26,936,800
45.444961,9.148056,45.469192,9.195156,4.555585,2020,06,30,14,20,20,45,0,32,72,18,26,30,936,800
45.475899,9.225211,45.472066,9.159970,5.104651,2020,06,30,14,20,20,41,0,30,82,22,22,27,936,800
45.468654,9.161348,45.486190,9.202303,3.741313,2020,06,30,14,20,20,19,0,23,60,16,17,19,936,800
45.485680,9.181031,45.479079,9.147464,2.717804,2020,06,30,14,20,20,15,0,15,44,8,13,12,936,800
45.464767,9.165615,45.438053,9.160326,2.998831,2020,06,30,14,20,20,31,0,18,54,12,12,20,936,800
45.492785,9.151812,45.472359,9.202652,4.567992,2020,06,30,14,20,20,33,0,25,71,16,21,19,936,800
45.463754,9.201499,45.494506,9.146222,5.501253,2020,06,30,14,20,20,52,0,31,86,18,19,26,936,800
45.459153,9.206531,45.460917,9.180403,2.047117,2020,06,30,14,20,20,26,0,15,34,11,13,12,936,798
45.466418,9.167028,45.470189,9.212387,3.561755,2020,06,30,14,20,20,29,0,25,54,15,16,24,936,798
45.450586,9.173816,45.487765,9.167568,4.162527,2020,06,30,14,20,20,32,0,29,73,18,21,29,936,798
45.473040,9.187984,45.490122,9.148995,3.584186,2020,06,30,14,30,20,34,0,21,57,12,1,3,936,798
45.461617,9.182004,45.498598,9.203322,4.435077,2020,06,30,14,30,20,39,0,30,67,0,5,10,936,802
45.474773,9.145752,45.465014,9.193866,3.905481,2020,06,30,14,30,20,25,0,25,57,0,2,22,936,802
45.440823,9.217811,45.488848,9.202898,5.465050,2020,06,30,14,30,20,28,0,29,95,18,25,26,936,802
45.493414,9.194923,45.444422,9.199502,5.459089,2020,06,30,14,30,20,38,0,30,84,21,23,32,936,802
45.465574,9.154333,45.502954,9.163464,4.216779,2020,06,30,14,30,20,27,0,25,71,13,18,21,936,788
45.478638,9.182167,45.496019,9.191285,2.059143,2020,06,30,14,30,20,24,0,12,33,9,14,14,936,788
45.462812,9.204056,45.469701,9.160774,3.460980,2020,06,30,14,30,20,26,0,21,52,16,19,25,936,788
45.462436,9.198914,45.501620,9.177896,4.654778,2020,06,30,14,30,20,37,0,26,74,21,23,27,936,788
45.461667,9.164121,45.505917,9.217190,6.428299,2020,06,30,14,30,20,37,0,39,103,27,31,31,936,789
45.466209,9.170551,45.445616,9.168523,2.295184,2020,06,30,14,40,25,21,0,16,39,12,13,16,936,789
45.470149,9.205483,45.493336,9.192028,2.783369,2020,06,30,14,40,25,32,0,18,46,13,16,17,936,789
