Lat,Lon,Elat,Elon,Distance,Year,Month,Day,Hour,Minute,Second,Public,Public2,Bike,Foot,Car,Car2Go,Enjoy,Car2GoFreeCars,EnjoyFreeCars
45.456839,9.216937,45.463012,9.181966,2.812403,2020,03,01,15,34,39,32,26,16,43,14,19,23,0,0
45.481223,9.220238,45.452213,9.164582,5.407454,2020,03,01,15,34,39,31,31,33,80,22,30,31,0,0
45.452186,9.214585,45.464963,9.196156,2.020922,2020,03,01,15,34,39,32,11,12,35,6,11,10,0,0
45.505853,9.196315,45.459580,9.162597,5.777649,2020,03,01,15,34,39,149,141,31,93,19,22,23,0,0
45.459685,9.184493,45.480333,9.173831,2.441736,2020,03,01,15,34,39,31,21,19,40,15,24,23,0,0
45.450932,9.201096,45.479690,9.166240,4.196764,2020,03,01,15,34,39,44,33,26,64,17,19,32,0,0
45.496002,9.190585,45.452060,9.195508,4.900947,2020,03,01,15,34,39,35,38,29,78,20,24,26,0,0
45.491733,9.179373,45.453312,9.187138,4.314705,2020,03,01,15,34,39,36,42,25,62,15,19,27,0,0
45.489918,9.202213,45.450841,9.185131,4.544531,2020,03,01,15,34,39,36,36,29,71,20,20,22,0,0
45.443960,9.192261,45.472587,9.161910,3.966725,2020,03,01,15,34,39,45,43,23,64,15,20,20,0,0
45.497154,9.202844,45.457006,9.203635,4.464465,2020,03,01,15,34,39,38,49,24,74,17,24,21,0,0
45.501544,9.153198,45.458187,9.202268,6.154317,2020,03,01,15,34,39,72,51,38,104,25,26,30,0,0
45.474971,9.149642,45.454447,9.190813,3.939020,2020,03,01,15,34,39,28,28,23,61,13,15,15,0,0
45.454185,9.159068,45.470983,9.193770,3.288215,2020,03,01,15,44,39,120,120,20,49,13,25,28,0,0
45.453782,9.186289,45.502368,9.165225,5.646355,2020,03,01,15,44,39,53,38,35,90,19,24,29,0,0
45.479586,9.193751,45.439808,9.147090,5.727554,2020,03,01,15,44,39,39,41,33,91,22,30,32,0,0
45.480697,9.202902,45.451074,9.195301,3.346677,2020,03,01,15,44,39,31,31,18,53,12,13,22,0,0
45.474180,9.155763,45.504941,9.226423,6.483408,2020,03,01,15,44,39,30,30,36,101,21,24,30,0,0
45.451950,9.215223,45.470155,9.218193,2.037415,2020,03,01,15,44,39,54,16,10,35,7,12,24,0,0
45.437720,9.203281,45.472288,9.181077,4.215743,2020,03,01,15,44,39,39,40,27,66,18,22,24,0,0
45.437897,9.218171,45.474464,9.165260,5.793226,2020,03,01,15,44,39,243,244,32,89,19,22,20,0,0
45.503395,9.218869,45.449681,9.173938,6.923996,2020,03,01,15,44,39,48,48,43,114,26,40,34,0,0
